躺著也能背好基礎韓文單字(現在就開始努力念韓文吧!)2個pdf下載 https://korea.urcook.com/2020/11/yes.html
必背高頻率生活單字(總共2組) https://korea.urcook.com/2019/05/good.html
學韓文就是應該每天都至少學習一個韓文單字(進階版) https://korea.urcook.com/2020/11/advanced.html
加州Berkeley提供的免費韓文課程 https://korea.urcook.com/2019/05/berkeley.html
幫助韓文學習的免費韓語字專業字典網站 https://korea.urcook.com/2019/05/dictionary.html
用韓國小學課本學韓語40音 https://m.howkid.com/2020/05/40study.html
能知道自己一分鐘能打幾個韓文字的韓語打字速度測試網站 https://skr.24zz.com/2019/04/typing.html
第一次學韓語超簡單! https://kr.24zz.com/2021/04/easy.html
HOT TOPIK新韓檢TOPIK II 中高級寫作速成攻略 https://kr.urcook.com/2021/08/topikii.html
可以練韓文閱讀跟韓文聽力!看韓文童話免費學韓語 https://skr.24zz.com/2019/04/animation.html
最權威的延世大學韓國語練習本！韓文學習經典教材！延世大學韓國語課本+練習本123456系列全整理 https://m.howkid.com/2019/09/basics.html
學韓語40音只需要一週 https://kr.24zz.com/2021/03/best.html
超實用!常用韓文筆記(一些日常生活會遇到的單字總整理) https://m.howkid.com/2019/11/word.html
新聞韓語初學者必備!練習新聞韓文的好幫手就是持續收看韓國KBS新聞台 https://skr.24zz.com/2019/04/kbs.html
pororo兒歌教韓文數字 https://korea.urcook.com/2020/10/pororo.html
沒想到躺著也能背好基礎韓文單字(超過300個學韓文的韓文單字共21頁pdf) https://skr.24zz.com/2020/11/free.html
韓語學習知名Youtuber韓文韓國留學通免費韓語教學(最推薦名詞篇) https://m.howkid.com/2019/08/youtuber.html
完全免費!韓文學習者必裝！首爾大學韓國語線上app版本(支援android手機和iPhone手機) https://m.howkid.com/2019/10/app.html
會日文就會韓文-用日文學韓文發音記憶規則-「～つ」⇒「ㄹ」 https://korea.urcook.com/2020/02/r.html
會日文就會韓文L5へ에 https://korea.urcook.com/2020/02/l5.html
100個你本來就會的韓文外來語單字 https://korea.urcook.com/2019/05/yes.html
我的第一本韓語會話 https://m.howkid.com/2020/05/book.html
超推薦！很有深度和實用性的youtube韓文教學頻道 https://korea.urcook.com/2019/07/learn.html
個人最推這個漫畫網站！用看漫畫的方式免費學韓文(支援android和iOS手機和電腦版) https://korea.urcook.com/2019/08/comic.html
考TOPIK 2韓文檢定最有效加分的項目 https://kr.urcook.com/2021/08/topik3.html
超推TOPIK怪物講師教學團隊的新韓檢虛擬點讀筆App https://skr.24zz.com/2020/09/learn.html
真的不用錢!快來看免費線上正版韓國Kpop娛樂台學韓文(電腦手機都能看) https://m.howkid.com/2020/10/kpop.html
初學者開口說韓語 https://korea.urcook.com/2021/04/blog-post.html
躺著也能背好基礎韓文單字(現在就開始努力念韓文吧!)2個pdf下載 https://korea.urcook.com/2020/11/yes.html
基本四十音一開始就學好之後開口說韓文才會比較有信心 https://skr.24zz.com/2019/04/basic.html
可以練韓文閱讀跟韓文聽力!看韓文童話免費學韓語 https://skr.24zz.com/2019/04/animation.html
看網路韓劇學韓文非常有效果喔(這系列都有附上全韓文字幕!學習起來很有效率喔!) https://korea.urcook.com/2020/10/youtube.html
來跟讀韓語新聞吧!韓文跟讀利器！韓語新聞和韓文綜藝特別整理(非常好用的韓文聽力練習網站) https://m.howkid.com/2019/10/speak.html
會日文就會韓文-用日文學韓文發音記憶規則-「い」「う」時⇒「ㅇ」 https://korea.urcook.com/2020/02/i.html
目標每天念韓語!韓文就是要努力強迫自己每天多念一些(設定首頁每日K) https://skr.24zz.com/2019/10/k.html
快速交到韓國筆友的捷徑之一！就可以快速交國際筆友的超棒免費服務 https://korea.urcook.com/2019/04/friend.html
學韓文一定要時常來這裡挖寶!分享韓國學習網(適合有一定韓語基礎) https://m.howkid.com/2019/11/lesson.html
會日文就會韓文L1は 은/는 https://korea.urcook.com/2020/02/L1.html
好用聽力練習網站整理有版權無字幕韓劇+韓國綜藝節目 https://skr.24zz.com/2019/04/tv.html
新韓檢初級 TOPIK 1試題完全攻略 https://topik.howkid.com/2021/08/topik1.html
韓文學習者人手必備！免費專業字典網站幫助學習韓文者查到想要的單字和例句(手機和電腦都可用) https://m.howkid.com/2019/09/free.html
